YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2020,FY,PROVIDER,SNF,495261,"Heritage Hall Leesburg",Leesburg,VA,20176,308,368,11175,6293801,6592591,5527357,5329256,26,*,83,38,62,87,7,*,*,0,*,*,2.38,*,11,61,44,6,62,65,4,*,9,9,45,74,11,26,49,27,44,49,80,96,60,18,10,33,7,3,*,0,4,0,18,8,3,5,6,0,*,25,18
2020,FY,PROVIDER,SNF,495262,"Shenandoah Nursing Home",Fishersville,VA,22939,150,173,3835,2656366,2046410,1769589,2010396,13,*,83,35,65,95,*,0,0,0,*,*,2.15,*,11,44,46,*,60,63,*,*,*,13,38,69,10,21,54,37,44,46,84,*,49,28,10,28,*,*,*,0,17,0,16,9,*,11,*,0,0,24,9
2020,FY,PROVIDER,SNF,495264,"Bayside Of Poquoson Health And Rehab",Poquoson,VA,23662,31,38,1140,785568,579681,462102,536457,42,0,76,*,*,84,*,*,0,0,0,0,3.28,0,*,61,55,*,52,52,*,*,*,*,*,*,*,*,61,45,*,42,*,*,52,*,*,65,*,0,*,*,*,0,34,*,0,*,0,0,*,*,*
2020,FY,PROVIDER,SNF,495266,"Hanover Health And Rehabilitation Center",Mechanicsville,VA,23111,354,420,10898,7605163,5859425,4908954,5464015,22,14,80,37,63,68,29,*,*,*,*,*,2.98,*,11,45,43,6,49,53,*,*,11,19,48,75,18,22,58,36,53,57,83,96,53,21,6,40,5,3,*,0,4,0,21,11,3,10,8,0,*,21,11
2020,FY,PROVIDER,SNF,495267,"Brookside Rehab & Nursing Center",Warrenton,VA,20186,127,148,4662,1935088,2758084,2292278,2339237,72,*,76,48,52,76,21,*,*,0,*,0,2.54,*,28,74,69,28,75,*,17,*,21,23,30,49,11,10,37,32,45,29,69,90,37,*,*,26,*,0,0,*,12,0,7,*,*,16,*,0,*,13,37
2020,FY,PROVIDER,SNF,495268,"Westmoreland Rehabilitation & Healthcare Center","Colonial Beach",VA,22443,100,127,3518,1803181,1820685,1467563,1814752,39,74,79,38,62,80,16,0,*,0,*,*,2.42,*,14,55,53,12,59,63,*,*,21,20,44,58,12,28,44,42,48,47,86,*,57,16,*,31,0,0,*,*,*,0,19,10,0,31,*,0,*,19,12
2020,FY,PROVIDER,SNF,495269,"The Jefferson",Arlington,VA,22203,174,196,4773,3431728,2742246,2352158,2398714,*,*,84,35,65,87,*,*,*,0,*,*,2.32,*,11,46,36,*,48,52,0,*,*,*,44,70,16,17,51,27,39,49,81,*,49,24,9,32,*,*,*,0,16,0,14,10,*,9,*,*,*,34,9
2020,FY,PROVIDER,SNF,495270,"Rosemont Health & Rehab Center Llc","Virginia Beach",VA,23452,189,221,3356,2818529,1801439,1611920,1834129,25,*,78,49,51,76,19,*,*,0,*,*,3.14,*,13,52,51,8,53,57,*,*,*,20,50,66,11,21,59,44,56,63,88,*,49,20,*,34,7,*,*,*,7,0,21,15,*,7,8,0,0,14,14
2020,FY,PROVIDER,SNF,495272,"Canterbury Rehabilitation & Health Care Center",Richmond,VA,23238,245,282,8150,4280438,5128073,4355791,4530875,49,5,78,41,59,65,33,*,*,0,*,*,2.94,6,12,67,56,17,57,61,*,5,24,14,38,61,16,20,53,47,54,42,78,94,46,20,8,31,6,*,*,*,7,0,10,9,*,30,*,*,10,12,22
2020,FY,PROVIDER,SNF,495273,"Consulate Health Care Of Norfolk",Norfolk,VA,23504,80,97,2964,1630671,1629405,1334292,1498075,75,*,71,56,44,53,44,0,*,0,0,*,2.9,*,29,60,53,23,59,64,*,*,29,38,26,55,*,15,40,39,66,44,80,*,38,*,*,40,*,*,*,0,30,0,20,*,0,*,*,*,0,16,*
